Study,Soil,Substrate,Clay,pH,Ctot,Ntot,Time,Cmicinit,Sinit,Cmic14,CO214
Blagodatskaya et al. 2011,Loam gleyic cambisol ,Glucose,,5.1,2.1,0.21,0,8.46273192373284,71.3775874375446,0,1.29777431704629
Blagodatskaya et al. 2011,Loam gleyic cambisol ,Glucose,,5.1,2.1,0.21,0.135746606334843,8.46273192373284,71.3775874375446,,3.56887937187726
Blagodatskaya et al. 2011,Loam gleyic cambisol ,Glucose,,5.1,2.1,0.21,0.452488687782807,8.46273192373284,71.3775874375446,,7.13775874375449
Blagodatskaya et al. 2011,Loam gleyic cambisol ,Glucose,,5.1,2.1,0.21,0.904977375565613,8.46273192373284,71.3775874375446,,16.2221789630783
Blagodatskaya et al. 2011,Loam gleyic cambisol ,Glucose,,5.1,2.1,0.21,1.94570135746607,8.46273192373284,71.3775874375446,,22.7110505483097
Blagodatskaya et al. 2011,Loam gleyic cambisol ,Glucose,,5.1,2.1,0.21,2.98642533936652,8.46273192373284,71.3775874375446,7.66935080588288,24.9821556031406
Blagodatskaya et al. 2011,Loam gleyic cambisol ,Glucose,,5.1,2.1,0.21,4.02714932126697,8.46273192373284,71.3775874375446,,26.6043734994484
Blagodatskaya et al. 2011,Loam gleyic cambisol ,Glucose,,5.1,2.1,0.21,5.02262443438914,8.46273192373284,71.3775874375446,,28.5510349750178
Blagodatskaya et al. 2011,Loam gleyic cambisol ,Glucose,,5.1,2.1,0.21,6.9683257918552,8.46273192373284,71.3775874375446,5.55366782494967,30.1732528713257
Blagodatskaya et al. 2011,Loam gleyic cambisol ,Glucose,,5.1,2.1,0.21,9.00452488687783,8.46273192373284,71.3775874375446,,31.1465836091104
Blagodatskaya et al. 2011,Loam gleyic cambisol ,Glucose,,5.1,2.1,0.21,11.0859728506787,8.46273192373284,71.3775874375446,,32.7688015054182
Blagodatskaya et al. 2011,Loam gleyic cambisol ,Glucose,,5.1,2.1,0.21,12.9864253393665,8.46273192373284,71.3775874375446,,33.4176886639413
Blagodatskaya et al. 2011,Loam gleyic cambisol ,Glucose,,5.1,2.1,0.21,13.9366515837104,8.46273192373284,71.3775874375446,5.14495633999667,34.391019401726
Blagodatskaya et al. 2011,Loam gleyic cambisol ,Glucose,,5.1,2.1,0.21,17.0588235294118,8.46273192373284,71.3775874375446,,35.6887937187723
Blagodatskaya et al. 2011,Loam gleyic cambisol ,Glucose,,5.1,2.1,0.21,21.131221719457,8.46273192373284,71.3775874375446,,37.3110116150801
Blagodatskaya et al. 2011,Loam gleyic cambisol ,Glucose,,5.1,2.1,0.21,23.0316742081448,8.46273192373284,71.3775874375446,,37.9598987736032
Blagodatskaya et al. 2011,Loam gleyic cambisol ,Glucose,,5.1,2.1,0.21,26.1085972850679,8.46273192373284,71.3775874375446,,39.2576730906495
Blagodatskaya et al. 2011,Loam gleyic cambisol ,Glucose,,5.1,2.1,0.21,27.0135746606335,8.46273192373284,71.3775874375446,,39.2576730906495
Blagodatskaya et al. 2011,Loam gleyic cambisol ,Glucose,,5.1,2.1,0.21,27.9638009049774,8.46273192373284,71.3775874375446,,39.5821166699111
Blagodatskaya et al. 2011,Loam gleyic cambisol ,Glucose,,5.1,2.1,0.21,29.0045248868778,8.46273192373284,71.3775874375446,,39.9065602491726
Blagodatskaya et al. 2011,Loam gleyic cambisol ,Glucose,,5.1,2.1,0.21,30.1809954751131,8.46273192373284,71.3775874375446,,40.5554474076958
Blagodatskaya et al. 2011,Loam gleyic cambisol ,Glucose,,5.1,2.1,0.21,31.2217194570136,8.46273192373284,71.3775874375446,,40.2310038284342
Blagodatskaya et al. 2011,Loam gleyic cambisol ,Glucose,,5.1,2.1,0.21,32.1719457013575,8.46273192373284,71.3775874375446,,41.2043345662189
Blagodatskaya et al. 2011,Loam gleyic cambisol ,Glucose,,5.1,2.1,0.21,32.8506787330317,8.46273192373284,71.3775874375446,,41.2043345662189
Blagodatskaya et al. 2011,Loam gleyic cambisol ,Glucose,,5.1,2.1,0.21,36.9683257918552,8.46273192373284,71.3775874375446,,41.853221724742
Blagodatskaya et al. 2011,Loam gleyic cambisol ,Glucose,,5.1,2.1,0.21,39.9547511312217,8.46273192373284,71.3775874375446,,42.5021088832652
Blagodatskaya et al. 2011,Loam gleyic cambisol ,Glucose,,5.1,2.1,0.21,41.0859728506787,8.46273192373284,71.3775874375446,,43.1509960417883
Blagodatskaya et al. 2011,Loam gleyic cambisol ,Glucose,,5.1,2.1,0.21,44.3891402714932,8.46273192373284,71.3775874375446,,43.4754396210499
Blagodatskaya et al. 2011,Loam gleyic cambisol ,Glucose,,5.1,2.1,0.21,47.1493212669683,8.46273192373284,71.3775874375446,,44.4487703588346
Blagodatskaya et al. 2011,Loam gleyic cambisol ,Glucose,,5.1,2.1,0.21,49.5022624434389,8.46273192373284,71.3775874375446,,44.7732139380962
Blagodatskaya et al. 2011,Loam gleyic cambisol ,Glucose,,5.1,2.1,0.21,51.0407239819005,8.46273192373284,71.3775874375446,,45.0976575173577
Blagodatskaya et al. 2011,Loam gleyic cambisol ,Glucose,,5.1,2.1,0.21,53.8461538461538,8.46273192373284,71.3775874375446,1.39442741925143,45.7465446758808
