Study,Soil,Substrate,Clay,pH,Ctot,Ntot,Time,Cmicinit,Sinit,Cmic14,S,CO2cumul,Treatment
"Bremer and Kessel, 1990",Silty loam,Glucose,9.00,7.4,1.3,0.17,0,11.8900915903414,2.49791840133222,0,,0,LC
"Bremer and Kessel, 1990",Silty loam,Glucose,9.00,7.4,1.3,0.17,0.25,11.8900915903414,2.49791840133222,0.919773786368383,,0.281598950506723,LC
"Bremer and Kessel, 1990",Silty loam,Glucose,9.00,7.4,1.3,0.17,0.5,11.8900915903414,2.49791840133222,0.851894307062882,,0.383381703701924,LC
"Bremer and Kessel, 1990",Silty loam,Glucose,9.00,7.4,1.3,0.17,1,11.8900915903414,2.49791840133222,0.933898964992759,,0.441058597179204,LC
"Bremer and Kessel, 1990",Silty loam,Glucose,9.00,7.4,1.3,0.17,3,11.8900915903414,2.49791840133222,0.944128511691454,,0.554716004913845,LC
"Bremer and Kessel, 1990",Silty loam,Glucose,9.00,7.4,1.3,0.17,7,11.8900915903414,2.49791840133222,0.878279484993043,,0.631053069810246,LC
"Bremer and Kessel, 1990",Silty loam,Glucose,9.00,7.4,1.3,0.17,0,11.8900915903414,24.9791840133222,0,,0,HC1
"Bremer and Kessel, 1990",Silty loam,Glucose,9.00,7.4,1.3,0.17,0.25,11.8900915903414,24.9791840133222,3.84310412677197,,1.23835683054161,HC1
"Bremer and Kessel, 1990",Silty loam,Glucose,9.00,7.4,1.3,0.17,0.5,11.8900915903414,24.9791840133222,6.45485701476795,,3.98649116681204,HC1
"Bremer and Kessel, 1990",Silty loam,Glucose,9.00,7.4,1.3,0.17,1,11.8900915903414,24.9791840133222,6.15150358126975,,7.78638061943287,HC1
"Bremer and Kessel, 1990",Silty loam,Glucose,9.00,7.4,1.3,0.17,3,11.8900915903414,24.9791840133222,5.32506018967117,,9.21133916416569,HC1
"Bremer and Kessel, 1990",Silty loam,Glucose,9.00,7.4,1.3,0.17,7,11.8900915903414,24.9791840133222,4.75909619934167,,10.5175511635041,HC1
"Bremer and Kessel, 1990",Silty loam,Glucose,9.00,7.4,1.3,0.17,0,11.8900915903414,24.9791840133222,0,,0,HC2
"Bremer and Kessel, 1990",Silty loam,Glucose,9.00,7.4,1.3,0.17,0.25,11.8900915903414,24.9791840133222,4.83525239096333,,1.23835683054161,HC2
"Bremer and Kessel, 1990",Silty loam,Glucose,9.00,7.4,1.3,0.17,0.5,11.8900915903414,24.9791840133222,8.65877966251964,,3.95256358241364,HC2
"Bremer and Kessel, 1990",Silty loam,Glucose,9.00,7.4,1.3,0.17,1,11.8900915903414,24.9791840133222,6.60410481638648,,7.22657547685927,HC2
"Bremer and Kessel, 1990",Silty loam,Glucose,9.00,7.4,1.3,0.17,3,11.8900915903414,24.9791840133222,5.74075262076513,,8.90599090458008,HC2
"Bremer and Kessel, 1990",Silty loam,Glucose,9.00,7.4,1.3,0.17,7,11.8900915903414,24.9791840133222,5.0328476478876,,9.58454259254809,HC2
