Study,Soil,Substrate,Clay,pH,Ctot,Ntot,Time,Cmicinit,Sinit,Cmic,CO2cumul,ATPinit,ATP,Treatment
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,0,12.917012410537,166.527893422148,12.917012410537,0,0.013635913198586,0.013635913198586,HighG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,0.020833333333333,12.917012410537,166.527893422148,,1.93138020721563,0.013635913198586,,HighG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,0.041666666666667,12.917012410537,166.527893422148,,3.54086371322866,0.013635913198586,,HighG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,0.083333333333333,12.917012410537,166.527893422148,,5.31129556984298,0.013635913198586,,HighG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,0.166666666666667,12.917012410537,166.527893422148,,6.7598307252547,0.013635913198586,,HighG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,0.25,12.917012410537,166.527893422148,,7.56457247826124,0.013635913198586,,HighG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,0.5,12.917012410537,166.527893422148,,9.01310763367296,0.013635913198586,,HighG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,1,12.917012410537,166.527893422148,26.4258440334176,52.3082139454235,0.013635913198586,0.038828281739505,HighG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,1.5,12.917012410537,166.527893422148,29.4091717381184,83.5321939620763,0.013635913198586,0.064359142417046,HighG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,2,12.917012410537,166.527893422148,32.7086450487161,87.7168510777102,0.013635913198586,0.061316364104187,HighG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,2.5,12.917012410537,166.527893422148,26.8398957883032,91.5796114921414,0.013635913198586,0.056975424114827,HighG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,3,12.917012410537,166.527893422148,21.0162070725012,94.6376301535662,0.013635913198586,0.059452571114642,HighG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,4,12.917012410537,166.527893422148,,98.8222872692,0.013635913198586,,HighG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,5,12.917012410537,166.527893422148,18.1358380721344,103.81168613784,0.013635913198586,0.031048178192553,HighG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,6,12.917012410537,166.527893422148,,106.547808098063,0.013635913198586,,HighG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,7,12.917012410537,166.527893422148,14.6681868478975,109.283930058285,0.013635913198586,0.023641511270902,HighG
Tsai et al. 1997,Sandy loam,Glucose,,6.69,,,8,12.917012410537,166.527893422148,,111.537206966703,0.013635913198586,,HighG
