Study,Soil,Substrate,Clay,pH,Ctot,Ntot,Time,Cmicinit,Sinit,Cmic14,S,Treatment,CO2cumul
Wu et al. 1993,Silty clay loam,Glucose,24.00,5.2,4.09,0.397,0,33.3805912490342,356.887937187723,0,356.887937187723,Large,0
Wu et al. 1993,Silty clay loam,Glucose,24.00,5.2,4.09,0.397,2.17768043675876,33.3805912490342,356.887937187723,,215.50974989356,Large,141.378187294163
Wu et al. 1993,Silty clay loam,Glucose,24.00,5.2,4.09,0.397,3.98576919192188,33.3805912490342,356.887937187723,,189.961583716028,Large,166.926353471695
Wu et al. 1993,Silty clay loam,Glucose,24.00,5.2,4.09,0.397,6.93333262453951,33.3805912490342,356.887937187723,31.2149059160958,177.587762345209,Large,179.300174842514
Wu et al. 1993,Silty clay loam,Glucose,24.00,5.2,4.09,0.397,10.10017914764,33.3805912490342,356.887937187723,,171.795137198523,Large,185.0927999892
Wu et al. 1993,Silty clay loam,Glucose,24.00,5.2,4.09,0.397,15.2577174357966,33.3805912490342,356.887937187723,,163.84397303255,Large,193.043964155173
Wu et al. 1993,Silty clay loam,Glucose,24.00,5.2,4.09,0.397,20.0552327590331,33.3805912490342,356.887937187723,24.0593294768579,160.271640757122,Large,196.616296430601
Wu et al. 1993,Silty clay loam,Glucose,24.00,5.2,4.09,0.397,30.1175357364988,33.3805912490342,356.887937187723,,153.134944445229,Large,203.752992742494
Wu et al. 1993,Silty clay loam,Glucose,24.00,5.2,4.09,0.397,40.1726621764578,33.3805912490342,356.887937187723,21.9852493495425,149.286854185663,Large,207.60108300206
Wu et al. 1993,Silty clay loam,Glucose,24.00,5.2,4.09,0.397,49.9941524509205,33.3805912490342,356.887937187723,,145.434779806614,Large,211.453157381109
Wu et al. 1993,Silty clay loam,Glucose,24.00,5.2,4.09,0.397,60.0484814978231,33.3805912490342,356.887937187723,21.3630253113479,141.952090219528,Large,214.935846968195
Wu et al. 1993,Silty clay loam,Glucose,24.00,5.2,4.09,0.397,70.0996209725006,33.3805912490342,356.887937187723,,139.931003322365,Large,216.956933865358
Wu et al. 1993,Silty clay loam,Glucose,24.00,5.2,4.09,0.397,80.150760447178,33.3805912490342,356.887937187723,14.1037448657443,137.909916425202,Large,218.978020762521
Wu et al. 1993,Silty clay loam,Glucose,24.00,5.2,4.09,0.397,100.25144461042,33.3805912490342,356.887937187723,10.5778086493082,134.598543975836,Large,222.289393211887
Wu et al. 1993,Silty clay loam,Glucose,24.00,5.2,4.09,0.397,0,33.3805912490342,35.6887937187723,0,35.6887937187723,Small,0
Wu et al. 1993,Silty clay loam,Glucose,24.00,5.2,4.09,0.397,2.01541094980145,33.3805912490342,35.6887937187723,,23.6335596165217,Small,12.0552341022506
Wu et al. 1993,Silty clay loam,Glucose,24.00,5.2,4.09,0.397,4.01965839681468,33.3805912490342,35.6887937187723,,22.7965245713758,Small,12.8922691473965
Wu et al. 1993,Silty clay loam,Glucose,24.00,5.2,4.09,0.397,6.95047657524998,33.3805912490342,35.6887937187723,,22.3264838465033,Small,13.362309872269
Wu et al. 1993,Silty clay loam,Glucose,24.00,5.2,4.09,0.397,9.99731544337712,33.3805912490342,35.6887937187723,,21.8931823948529,Small,13.7956113239194
Wu et al. 1993,Silty clay loam,Glucose,24.00,5.2,4.09,0.397,15.0348460765604,33.3805912490342,35.6887937187723,,21.2440270412738,Small,14.4447666774985
Wu et al. 1993,Silty clay loam,Glucose,24.00,5.2,4.09,0.397,20.0659975652932,33.3805912490342,35.6887937187723,4.0444562482649,20.8871922256791,Small,14.8016014930932
Wu et al. 1993,Silty clay loam,Glucose,24.00,5.2,4.09,0.397,30.0138746391796,33.3805912490342,35.6887937187723,,20.0637031867716,Small,15.6250905320007
Wu et al. 1993,Silty clay loam,Glucose,24.00,5.2,4.09,0.397,39.9569673547283,33.3805912490342,35.6887937187723,3.11112019097301,19.4594545513524,Small,16.2293391674199
Wu et al. 1993,Silty clay loam,Glucose,24.00,5.2,4.09,0.397,50.0152833669125,33.3805912490342,35.6887937187723,,18.9284852564035,Small,16.7603084623688
Wu et al. 1993,Silty clay loam,Glucose,24.00,5.2,4.09,0.397,60.0743967721529,33.3805912490342,35.6887937187723,2.8000081718757,18.3609758942065,Small,17.3278178245658
