Study,Soil,Substrate,Clay,pH,Ctot,Ntot,Time,Cmicinit,Sinit,Cmic14,CO2cumul
Wu et al. 2011,Paddy,Glucose,29.00,5.3,16,1.8,0,28.5354287227726,35.6887937187723,0,0
Wu et al. 2011,Paddy,Glucose,29.00,5.3,16,1.8,2,28.5354287227726,35.6887937187723,4.1022496268125,11.8937023499237
Wu et al. 2011,Paddy,Glucose,29.00,5.3,16,1.8,5,28.5354287227726,35.6887937187723,3.96701062812636,13.2346529513387
Wu et al. 2011,Paddy,Glucose,29.00,5.3,16,1.8,10,28.5354287227726,35.6887937187723,3.51621396583927,14.2410767327129
Wu et al. 2011,Paddy,Glucose,29.00,5.3,16,1.8,20,28.5354287227726,35.6887937187723,3.38097496715315,15.1093419672746
Wu et al. 2011,Paddy,Glucose,29.00,5.3,16,1.8,40,28.5354287227726,35.6887937187723,3.1104969697809,15.7570595037891
Wu et al. 2011,Paddy,Glucose,29.00,5.3,16,1.8,60,28.5354287227726,35.6887937187723,2.84001897240865,16.1814307977171
Wu et al. 2011,Paddy,Glucose,29.00,5.3,16,1.8,80,28.5354287227726,35.6887937187723,2.16382397897802,16.4941065819956
Wu et al. 2011,Paddy,Glucose,29.00,5.3,16,1.8,100,28.5354287227726,35.6887937187723,1.80318664914835,16.7230499136605
Wu et al. 2011,Upland,Glucose,42.00,4.6,6.2,0.8,0,5.0785177091606,35.6887937187723,0,0
Wu et al. 2011,Upland,Glucose,42.00,4.6,6.2,0.8,2,5.0785177091606,35.6887937187723,4.4299624172981,10.9724214876109
Wu et al. 2011,Upland,Glucose,42.00,4.6,6.2,0.8,5,5.0785177091606,35.6887937187723,4.21011316581928,13.7371819971582
Wu et al. 2011,Upland,Glucose,42.00,4.6,6.2,0.8,10,5.0785177091606,35.6887937187723,3.91331667632289,14.7156874982091
Wu et al. 2011,Upland,Glucose,42.00,4.6,6.2,0.8,20,5.0785177091606,35.6887937187723,3.77041466286166,15.5281161721242
Wu et al. 2011,Upland,Glucose,42.00,4.6,6.2,0.8,40,5.0785177091606,35.6887937187723,3.36369354762585,16.2037296006057
Wu et al. 2011,Upland,Glucose,42.00,4.6,6.2,0.8,60,5.0785177091606,35.6887937187723,3.44064078564344,16.7397740158269
Wu et al. 2011,Upland,Glucose,42.00,4.6,6.2,0.8,80,5.0785177091606,35.6887937187723,3.01193474525975,17.1641900864676
Wu et al. 2011,Upland,Glucose,42.00,4.6,6.2,0.8,100,5.0785177091606,35.6887937187723,3.02292720783369,17.7280632285869
Wu et al. 2011,Paddy,Rice,29.00,5.3,16,1.8,0,28.5354287227726,35.6887937187723,0,0
Wu et al. 2011,Paddy,Rice,29.00,5.3,16,1.8,2,28.5354287227726,35.6887937187723,0.991752657031601,1.07019568116192
Wu et al. 2011,Paddy,Rice,29.00,5.3,16,1.8,5,28.5354287227726,35.6887937187723,2.11874431274931,3.28721848320848
Wu et al. 2011,Paddy,Rice,29.00,5.3,16,1.8,10,28.5354287227726,35.6887937187723,1.62286798423352,5.19787108371452
Wu et al. 2011,Paddy,Rice,29.00,5.3,16,1.8,20,28.5354287227726,35.6887937187723,1.44254931931867,6.1385263813614
Wu et al. 2011,Paddy,Rice,29.00,5.3,16,1.8,40,28.5354287227726,35.6887937187723,1.21715098817514,6.89819070186058
Wu et al. 2011,Paddy,Rice,29.00,5.3,16,1.8,60,28.5354287227726,35.6887937187723,1.12699165571772,7.14793802786886
Wu et al. 2011,Paddy,Rice,29.00,5.3,16,1.8,80,28.5354287227726,35.6887937187723,0.856513658345467,7.34681810030834
Wu et al. 2011,Paddy,Rice,29.00,5.3,16,1.8,100,28.5354287227726,35.6887937187723,0.766354325888045,7.82607085210887
Wu et al. 2011,Upland,Rice,42.00,4.6,6.2,0.8,0,5.0785177091606,35.6887937187723,0,0
Wu et al. 2011,Upland,Rice,42.00,4.6,6.2,0.8,2,5.0785177091606,35.6887937187723,1.45100505976017,1.40155228210455
Wu et al. 2011,Upland,Rice,42.00,4.6,6.2,0.8,5,5.0785177091606,35.6887937187723,1.9456658755875,4.23038214312997
Wu et al. 2011,Upland,Rice,42.00,4.6,6.2,0.8,10,5.0785177091606,35.6887937187723,1.54993722292564,6.24302203146795
Wu et al. 2011,Upland,Rice,42.00,4.6,6.2,0.8,20,5.0785177091606,35.6887937187723,1.52795229777776,7.26013376681839
Wu et al. 2011,Upland,Rice,42.00,4.6,6.2,0.8,40,5.0785177091606,35.6887937187723,1.18718595798559,7.86686576724165
Wu et al. 2011,Upland,Rice,42.00,4.6,6.2,0.8,60,5.0785177091606,35.6887937187723,1.23115580828136,8.21861982575066
Wu et al. 2011,Upland,Rice,42.00,4.6,6.2,0.8,80,5.0785177091606,35.6887937187723,0.868404543341314,8.57041277359727
Wu et al. 2011,Upland,Rice,42.00,4.6,6.2,0.8,100,5.0785177091606,35.6887937187723,1.06626886967225,9.0496655253978
